accuracy,loss,val_accuracy,val_loss
0.7450463175773621,1.0183085203170776,0.9631481766700745,0.1204695999622345
0.9556481242179871,0.1518571525812149,0.9720370173454285,0.09507492929697037
0.973287045955658,0.09239888191223145,0.9725925922393799,0.09403374791145325
0.9807870388031006,0.06442314386367798,0.9746296405792236,0.0933288037776947
0.985370397567749,0.046844858676195145,0.9692592620849609,0.11821954697370529
0.9869444370269775,0.04075493663549423,0.9774073958396912,0.09206663072109222
0.9899073839187622,0.031363967806100845,0.9714815020561218,0.11947998404502869
0.991944432258606,0.024836016818881035,0.9759259223937988,0.09996660053730011
0.9941203594207764,0.01834111660718918,0.9777777791023254,0.1120220497250557
0.993842601776123,0.019268488511443138,0.9764814972877502,0.1106153056025505
